ID	Pathogen	Pathogen Taxonomy	Source	Taxonomy ID	Transmission Method	Host/Reservoir	Taxonomy ID	Disease	Anatomy	Symptoms/Documentation/Attributes
TI:0001671	71D1252 virus	177895	undocumented		undocumented	Culex	7174	no disease	undocumented	PMID:11581380,PMID:613619
TI:0001672	78V3531 virus	177898	undocumented		undocumented	Culex	7174	no disease	undocumented	PMID:11581380
TI:0001893	Amur virus	86782	undocumented		undocumented	Homo sapiens	9606	undocumented	undocumented	PMID: 17531126
TI:0000011	Bacillus anthracis	1392	air		indirect: airborne	Equus caballus	9796	Anthrax	respiratory system	
TI:0000010	Bacillus anthracis	1392	air		indirect: airborne	Bos taurus	9913	Anthrax	respiratory system	
TI:0000009	Bacillus anthracis	1392	air		indirect: airborne	Loxodonta africana	9785	Anthrax	respiratory system	
TI:0000008	Bacillus anthracis	1392	air		indirect: airborne	Syncerus caffer caffer	37445	Anthrax	respiratory system	
TI:0000007	Bacillus anthracis	1392	air		indirect: airborne	Hippopotamus amphibius	9833	Anthrax	respiratory system	
TI:0000006	Bacillus anthracis	1392	air		indirect: airborne	Bubalus bubalis	89462	Anthrax	respiratory system	
TI:0000005	Bacillus anthracis	1392	unknown		unknown	Macaca mulatta	9544	Anthrax	respiratory system	
TI:0000004	Bacillus anthracis	1392	food		indirect: vehicle-borne ingestion	Homo sapiens	9606	Anthrax	gastrointestinal system	
TI:0000003	Bacillus anthracis	1392	unknown		direct: contact	Homo sapiens	9606	Anthrax	skin	
TI:0000002	Bacillus anthracis	1392	air		indirect: airborne	Homo sapiens	9606	Anthrax	respiratory system	
TI:0000001	Bacillus anthracis	1392	unknown		unknown	Homo sapiens	9606	Anthrax	unknown	
II:0012714	Bacillus anthracis	1392				wool		not curated		
II:0012455	Bacillus anthracis	1392				hide		not curated		
II:0012315	Bacillus anthracis	1392				bone meal		not curated		
II:0012663	Bacillus anthracis	1392				soil		not curated		
II:0012446	Bacillus anthracis	1392				hair		not curated		
TI:0000012	Bacillus anthracis str. 'Ames Ancestor'	261594	air		indirect: airborne	Bos taurus	9913	Anthrax	respiratory system	
II:0012349	Bacillus anthracis str. 'Ames Ancestor'	261594				Bos taurus	9913	not curated		
TI:0000016	Bacillus anthracis str. Ames	198094	unknown		unknown	Homo sapiens	9606	Anthrax	unknown	
TI:0000015	Bacillus anthracis str. Ames	198094	food		indirect: vehicle-borne ingestion	Homo sapiens	9606	Anthrax	gastrointestinal system	
TI:0000014	Bacillus anthracis str. Ames	198094	unknown		direct: contact	Homo sapiens	9606	Anthrax	skin	
TI:0000013	Bacillus anthracis str. Ames	198094	air		indirect: airborne	Homo sapiens	9606	Anthrax	respiratory system	
TI:0001870	Bayou virus	37962	Oryzomys palustris	37020	undocumented	Homo sapiens	9606	Hantavirus pulmonary syndrome	undocumented	URL:http://www.cdc.gov/mmwr/preview/mmwrhtml/rr5109a1.htm
TI:0001855	Bayou virus	37962	undocumented		undocumented	Oryzomys palustris	37020	no disease	undocumented	URL:http://www.cdc.gov/ncidod/diseases/hanta/hps/noframes/history.htm
TI:0001854	Bayou virus	37962	undocumented		undocumented	Homo sapiens	9606	Hantavirus pulmonary syndrome	undocumented	URL:http://www.cdc.gov/ncidod/diseases/hanta/hps/noframes/history.htm
TI:0001673	Bijou Bridge virus	60878	undocumented		undocumented	Oeciacus vicarius	236681	no disease	undocumented	PMID:11581380
TI:0001872	Black Creek Canal virus	39719	Sigmodon hispidus	42415	undocumented	Homo sapiens	9606	Hantavirus pulmonary syndrome	undocumented	URL:http://www.cdc.gov/mmwr/preview/mmwrhtml/rr5109a1.htm
TI:0001858	Black Creek Canal virus	39719	undocumented		undocumented	Sigmodon hispidus	42415	no disease	undocumented	URL:http://www.cdc.gov/ncidod/diseases/hanta/hps/noframes/history.htm
TI:0001857	Black Creek Canal virus	39719	undocumented		undocumented	Homo sapiens	9606	Hantavirus pulmonary syndrome	undocumented	URL:http://www.cdc.gov/ncidod/diseases/hanta/hps/noframes/history.htm
TI:0000173	Brucella abortus	235	unknown		unknown	Homo sapiens	9606	Endocarditis	unknown	
TI:0000172	Brucella abortus	235	unknown		unknown	Homo sapiens	9606	Chronic meningitis	unknown	
TI:0000171	Brucella abortus	235	unknown		unknown	Bos grunniens	30521	Brucellosis	unknown	
TI:0000170	Brucella abortus	235	unknown		unknown	Camelus dromedarius	9838	Brucellosis	unknown	
TI:0000169	Brucella abortus	235	unknown		unknown	Syncerus caffer	9970	Brucellosis	unknown	
TI:0000168	Brucella abortus	235	unknown		unknown	Canis latrans	9614	Brucellosis	unknown	
TI:0000167	Brucella abortus	235	unknown		unknown	Bos taurus	9913	Brucellosis	unknown	
TI:0000166	Brucella abortus	235	unknown		unknown	Cervus elaphus	9860	Brucellosis	unknown	
TI:0000165	Brucella abortus	235	unknown		unknown	Bison bison	9901	Brucellosis	unknown	
TI:0000164	Brucella abortus	235	food		indirect: vehicle-borne ingestion	Homo sapiens	9606	Brucellosis	gastrointestinal system	
TI:0000163	Brucella abortus	235	unknown		direct: contact	Homo sapiens	9606	Brucellosis	skin	
TI:0000162	Brucella abortus	235	air		indirect: airborne	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000161	Brucella abortus	235	unknown		unknown	Homo sapiens	9606	Brucellosis	unknown	
II:0012412	Brucella abortus	235				Cervus elaphus	9860	not curated		
II:0012642	Brucella abortus	235				Ovis aries	9940	not curated		
II:0012332	Brucella abortus	235				Bos taurus	9913	not curated		
II:0012311	Brucella abortus	235				Bison	9900	not curated		
TI:0000195	Brucella canis	36855	unknown		direct: contact	Homo sapiens	9606	Brucellosis	unknown	
TI:0000194	Brucella canis	36855	unknown		direct: contact	Homo sapiens	9606	Brucellosis	skin	
TI:0000193	Brucella canis	36855	food		indirect: vehicle-borne ingestion	Homo sapiens	9606	Brucellosis	gastrointestinal system	
TI:0000192	Brucella canis	36855	fomite		indirect: vehicle-borne fomite	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000191	Brucella canis	36855	air		indirect: airborne	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000190	Brucella canis	36855	unknown		unknown	Homo sapiens	9606	Brucellosis	unknown	
TI:0000189	Brucella canis	36855	unknown		unknown	Canis lupus familiaris	9615	Brucellosis	unknown	
II:0012398	Brucella canis	36855				Canis lupus familiaris	9615	not curated		
TI:0000156	Brucella melitensis	29459	unknown		unknown	Homo sapiens	9606	Chronic meningitis	unknown	
TI:0000155	Brucella melitensis	29459	aerosol		direct: droplet spread	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000154	Brucella melitensis	29459	unknown		unknown	Homo sapiens	9606	Brucellosis	unknown	
TI:0000153	Brucella melitensis	29459	unknown		direct: contact	Homo sapiens	9606	Brucellosis	skin	
TI:0000152	Brucella melitensis	29459	unknown		direct: contact	Homo sapiens	9606	Brucellosis	unknown	
TI:0000151	Brucella melitensis	29459	fomite		indirect: vehicle-borne fomite	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000150	Brucella melitensis	29459	air		indirect: airborne	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000149	Brucella melitensis	29459	food		indirect: vehicle-borne ingestion	Homo sapiens	9606	Brucellosis	gastrointestinal system	
TI:0000148	Brucella melitensis	29459	unknown		unknown	Ovis aries	9940	Brucellosis	unknown	
TI:0000147	Brucella melitensis	29459	air		indirect: airborne	Capra hircus	9925	Brucellosis	respiratory system	
TI:0000146	Brucella melitensis	29459	unknown		unknown	Capra ibex	72542	Brucellosis	unknown	
TI:0000145	Brucella melitensis	29459	unknown		unknown	Rupicapra rupicapra	34869	Brucellosis	unknown	
TI:0000144	Brucella melitensis	29459	unknown		unknown	Bos taurus	9913	Brucellosis	unknown	
II:0012687	Brucella melitensis	29459				water		not curated		
II:0012341	Brucella melitensis	29459				Bos taurus	9913	not curated		
II:0012667	Brucella melitensis	29459				soil		not curated		
II:0012647	Brucella melitensis	29459				Ovis aries	9940	not curated		
II:0012438	Brucella melitensis	29459				Capra hircus	9925	not curated		
TI:0000160	Brucella melitensis 16M	224914	unknown		unknown	Homo sapiens	9606	Brucellosis	unknown	
TI:0000159	Brucella melitensis 16M	224914	unknown		direct: contact	Homo sapiens	9606	Brucellosis	skin	
TI:0000158	Brucella melitensis 16M	224914	air		indirect: airborne	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000157	Brucella melitensis 16M	224914	unknown		unknown	Capra hircus	9925	Brucellosis	unknown	
TI:0000143	Brucella sp.	52132	unknown		unknown	Syncerus caffer	9970	Brucellosis	unknown	
TI:0000142	Brucella sp.	52132	unknown		unknown	Vulpes vulpes	9627	Brucellosis	unknown	
TI:0000141	Brucella sp.	52132	fomite		indirect: vehicle-borne fomite	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000140	Brucella sp.	52132	unknown		direct: contact	Homo sapiens	9606	Brucellosis	unknown	
TI:0000139	Brucella sp.	52132	unknown		direct: contact	Homo sapiens	9606	Brucellosis	skin	
TI:0000138	Brucella sp.	52132	air		indirect: airborne	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000137	Brucella sp.	52132	aerosol		direct: droplet spread	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000136	Brucella sp.	52132	food		indirect: vehicle-borne ingestion	Homo sapiens	9606	Brucellosis	gastrointestinal system	
TI:0000135	Brucella sp.	52132	unknown		unknown	Bos taurus	9913	Brucellosis	unknown	
TI:0000187	Brucella suis	29461	unknown		direct: contact	Homo sapiens	9606	Brucellosis	unknown	
TI:0000186	Brucella suis	29461	unknown		direct: contact	Homo sapiens	9606	Brucellosis	skin	
TI:0000185	Brucella suis	29461	food		indirect: vehicle-borne ingestion	Homo sapiens	9606	Brucellosis	gastrointestinal system	
TI:0000184	Brucella suis	29461	fomite		indirect: vehicle-borne fomite	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000183	Brucella suis	29461	air		indirect: airborne	Homo sapiens	9606	Brucellosis	respiratory system	
TI:0000182	Brucella suis	29461	unknown		unknown	Homo sapiens	9606	Brucellosis	unknown	
TI:0000181	Brucella suis	29461	unknown		unknown	Bos taurus	9913	Brucellosis	unknown	
TI:0000180	Brucella suis	29461	unknown		unknown	Lepus europaeus	9983	Brucellosis	unknown	
TI:0000179	Brucella suis	29461	unknown		unknown	Sus scrofa	9823	Brucellosis	unknown	
TI:0000178	Brucella suis	29461	unknown		unknown	Bison bison	9901	Brucellosis	unknown	
TI:0000177	Brucella suis	29461	unknown		unknown	Odocoileus virginianus	9874	Brucellosis	unknown	
TI:0000176	Brucella suis	29461	unknown		unknown	Rangifer tarandus tarandus	86329	Brucellosis	unknown	
TI:0000175	Brucella suis	29461	unknown		unknown	Rangifer tarandus groenlandicus	86328	Brucellosis	unknown	
TI:0000174	Brucella suis	29461	unknown		unknown	Homo sapiens	9606	Chronic meningitis	meninge	
II:0012589	Brucella suis	29461				Sus scrofa	9823	not curated		
TI:0000188	Brucella suis 1330	204722	unknown		unknown	Suidae	9821	unknown	unknown	
TI:0000242	Burkholderia mallei	13373	food		indirect: vehicle-borne ingestion	Homo sapiens	9606	Glanders	gastrointestinal system	
TI:0000241	Burkholderia mallei	13373	aerosol		direct: droplet spread	Homo sapiens	9606	Glanders	respiratory system	
TI:0000240	Burkholderia mallei	13373	food		indirect: vehicle-borne ingestion	Felis catus	9685	Glanders	gastrointestinal system	
TI:0000239	Burkholderia mallei	13373	air		indirect: airborne	Felis catus	9685	Glanders	respiratory system	
TI:0000238	Burkholderia mallei	13373	aerosol		direct: droplet spread	Felis catus	9685	Glanders	respiratory system	
TI:0000237	Burkholderia mallei	13373	unknown		direct: contact	Felis catus	9685	Glanders	skin	
TI:0000236	Burkholderia mallei	13373	food		indirect: vehicle-borne ingestion	Equus caballus	9796	Glanders	gastrointestinal system	
TI:0000235	Burkholderia mallei	13373	aerosol		direct: droplet spread	Equus caballus	9796	Glanders	respiratory system	
TI:0000233	Burkholderia mallei	13373	food		indirect: vehicle-borne ingestion	Equus asinus	9793	Glanders	gastrointestinal system	
TI:0000232	Burkholderia mallei	13373	air		indirect: airborne	Equus asinus	9793	Glanders	respiratory system	
TI:0000231	Burkholderia mallei	13373	aerosol		direct: droplet spread	Equus asinus	9793	Glanders	respiratory system	
TI:0000230	Burkholderia mallei	13373	not curated		direct: contact	Equus asinus	9793	Glanders	skin	
TI:0000229	Burkholderia mallei	13373	food		indirect: vehicle-borne ingestion	Capra hircus	9925	Glanders	gastrointestinal system	
TI:0000228	Burkholderia mallei	13373	air		indirect: airborne	Capra hircus	9925	Glanders	respiratory system	
TI:0000227	Burkholderia mallei	13373	aerosol		direct: droplet spread	Capra hircus	9925	Glanders	respiratory system	
TI:0000226	Burkholderia mallei	13373	not curated		direct: contact	Capra hircus	9925	Glanders	skin	
TI:0000225	Burkholderia mallei	13373	food		indirect: vehicle-borne ingestion	Canis lupus familiaris	9615	Glanders	gastrointestinal system	
TI:0000224	Burkholderia mallei	13373	air		indirect: airborne	Canis lupus familiaris	9615	Glanders	respiratory system	
TI:0000223	Burkholderia mallei	13373	aerosol		direct: droplet spread	Canis lupus familiaris	9615	Glanders	respiratory system	
TI:0000222	Burkholderia mallei	13373	not curated		direct: contact	Canis lupus familiaris	9615	Glanders	skin	
TI:0000221	Burkholderia mallei	13373	not curated		direct: contact	Homo sapiens	9606	Glanders	unknown	PMID:10923853,PMID:11474663
TI:0000220	Burkholderia mallei	13373	unknown		unknown	Homo sapiens	9606	Glanders	unknown	PMID:12240535,PMID:14742564
TI:0000219	Burkholderia mallei	13373	unknown		unknown	Equus caballus	9796	Glanders	unknown	PMID:10209817,PMID:12240535,PMID:12734250,PMID:15635021,PMID:15677841,PMID:16115091,PMID:695232,PMID:7038356
TI:0000218	Burkholderia mallei	13373	not curated		direct: contact	Equus caballus	9796	Glanders	skin	PMID:12240535
TI:0000217	Burkholderia mallei	13373	food		indirect: vehicle-borne ingestion	Carnivora	33554	Glanders	gastrointestinal system	PMID:11105952,PMID:16466896
TI:0000216	Burkholderia mallei	13373	unknown		unknown	Ovis aries	9940	Glanders	unknown	PMID:11105952
TI:0000215	Burkholderia mallei	13373	unknown		unknown	Panthera leo	9689	Glanders	unknown	PMID:14742564
TI:0000214	Burkholderia mallei	13373	unknown		unknown	Cricetinae	10026	Glanders	unknown	PMID:14742564
TI:0000213	Burkholderia mallei	13373	unknown		unknown	Simiiformes	314293	Glanders	unknown	PMID:14742564
TI:0000212	Burkholderia mallei	13373	unknown		unknown	Oryctolagus cuniculus	9986	Glanders	unknown	PMID:14742564
TI:0000211	Burkholderia mallei	13373	unknown		unknown	Cavia	10140	Glanders	unknown	PMID:14742564
TI:0000210	Burkholderia mallei	13373	unknown		unknown	Mus	10088	Glanders	unknown	PMID:14742564
TI:0000209	Burkholderia mallei	13373	unknown		unknown	Felis catus	9685	Glanders	unknown	PMID:16466896
TI:0000208	Burkholderia mallei	13373	unknown		unknown	Canis lupus familiaris	9615	Glanders	unknown	PMID:16466896
TI:0000207	Burkholderia mallei	13373	unknown		unknown	Capra hircus	9925	Glanders	unknown	PMID:16466896
TI:0000201	Burkholderia mallei	13373	air		indirect: airborne	Homo sapiens	9606	Septicemia	respiratory system	PMID:15677841
TI:0000200	Burkholderia mallei	13373	not curated		direct: contact	Homo sapiens	9606	Septicemia	skin	PMID:15677841
TI:0000199	Burkholderia mallei	13373	air		indirect: airborne	Homo sapiens	9606	Glanders	respiratory system	PMID:14742564,PMID:1567784
TI:0000198	Burkholderia mallei	13373	unknown		direct: contact	Homo sapiens	9606	Glanders	mucous membrane	
TI:0000197	Burkholderia mallei	13373	air		indirect: airborne	Equus caballus	9796	Glanders	respiratory system	PMID:12240535
